Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method of Operation Code,Method of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location,Location_2,Population,STATEFP,PLACEFP,PLACENS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTS
NICD,Northern Indiana Commuter Transportation District,2017,N1700042,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NICDN170004220171209,17,12,,,,,,NICD,Northern Indiana Commuter Transportation District,N1700042,17,12,,9,12/9/2017,10:00 AM,12,Other impacts,0,0,0,0,SYSTEM,,,OGDEN DUNES,50.81,18,IN,INDIANA,127,PORTER,4,20,2,Day,1,Clear,1,Main,MAIN,3,11,3,East,3,Commuter Train - Pulling,Yes,503,20,Estimated,20,0,1,Signaled,,Signal Indication,,,,,,,0,Not a remotely controlled operation,NICD,14,6,No,,,0,,,,Yes,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5191,19012,24203,T499,Other way and structure defect (Provide detailed description in narrative),,,T499,Other way and structure defect (Provide detailed description in narrative),1,,1,,4,55,4,55,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,41.622061,-87.190605,3 CARS IN CIRCUIT AT THE SAME TIME CAUSING DAMAGE TO PANTOGRAPH.,Main,3,No,No,1,NICDN1700042201712,NICDN1700042201712,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,,,,,,,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,POINT (-87.190605 41.622061),Portage city,"38,327",18,61092,2396254,1861092,1600000US1861092,Portage,Portage city,25,C1,N,G4110,A,66391084,5383761,41.591612,-87.1789388,20
NICD,Northern Indiana Commuter Transportation District,2017,N1700042,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NICDN170004220171209,17,12,,,,,,NICD,Northern Indiana Commuter Transportation District,N1700042,17,12,,9,12/9/2017,10:00 AM,12,Other impacts,0,0,0,0,SYSTEM,,,OGDEN DUNES,50.81,18,IN,INDIANA,127,PORTER,4,20,2,Day,1,Clear,1,Main,MAIN,3,11,3,East,3,Commuter Train - Pulling,Yes,503,20,Estimated,20,0,1,Signaled,,Signal Indication,,,,,,,0,Not a remotely controlled operation,NICD,14,6,No,,,0,,,,Yes,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5191,19012,24203,T499,Other way and structure defect (Provide detailed description in narrative),,,T499,Other way and structure defect (Provide detailed description in narrative),1,,1,,4,55,4,55,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,41.622061,-87.190605,3 CARS IN CIRCUIT AT THE SAME TIME CAUSING DAMAGE TO PANTOGRAPH.,Main,3,No,No,1,NICDN1700042201712,NICDN1700042201712,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,,,,,,,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,POINT (-87.190605 41.622061),Ogden Dunes town,"1,172",18,56088,2396829,1856088,1600000US1856088,Ogden Dunes,Ogden Dunes town,43,C1,N,G4110,A,1923602,1913501,41.6286605,-87.1925043,2
NICD,Northern Indiana Commuter Transportation District,2017,N1700041,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NICDN170004120171207,17,12,,,,,,NICD,Northern Indiana Commuter Transportation District,N1700041,17,12,870458B,7,12/7/2017,4:50 AM,7,Hwy-rail crossing,0,0,0,0,SYSTEM,,,MICHIGAN CITY,33.75,18,IN,INDIANA,91,LA PORTE,4,15,4,Dark,6,Snow,1,Main,MAIN,2,9.4,4,West,2,Passenger Train - Pulling,Yes,104,20,Estimated,20,0,1,Signaled,,Signal Indication,,,,,,,0,Not a remotely controlled operation,NICD,306,1,No,,,0,,,,Yes,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20673,0,20673,M399,Other causes (Provide detailed description in narrative),,,M399,Other causes (Provide detailed description in narrative),1,,1,,,30,,30,0,0,0,0,0,2,0,2,0,2,0,2,OTH,000-000-000,41.712702,-86.894265,"JEEP WAS HEADING EASTBOUND ON 11TH STREET WHEN THE JEEP BEGAN TO SLIDE ON THE ICE.  THE JEEP COLLIDED WITH A POLE, SPUN AROUND, AND WAS THEN STRUCK BY THE SOUTH SHORE TRAIN ON THE PASSENGER SIDE.",Main,2,No,No,1,NICDN1700041201712,NICDN1700041201712,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,,,,,,,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,POINT (-86.894265 41.712702),Michigan City city,"31,792",18,48798,2395110,1848798,1600000US1848798,Michigan City,Michigan City city,25,C1,Y,G4110,A,52852821,479664,41.7087757,-86.8668754,26
NICD,Northern Indiana Commuter Transportation District,2018,N1800003,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NICDN180000320180114,18,1,,,,,,NICD,Northern Indiana Commuter Transportation District,N1800003,18,1,,14,1/14/2018,10:38 PM,11,Fire/violent rupture,0,0,0,0,SYSTEM,,,CHESTERTON,43.7,18,IN,INDIANA,127,PORTER,4,18,4,Dark,6,Snow,1,Main,MAIN,3,6,3,East,D,EMU,Yes,511,40,Estimated,40,0,1,Signaled,,Signal Indication,,,,,,,0,Not a remotely controlled operation,NICD,13,2,No,NICD,13,2,No,,,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,500000,65000,565000,E78L,Pantograph defect (LOCOMOTIVE),,,E78L,Pantograph defect (LOCOMOTIVE),1,,1,,5,23,5,23,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,41.644552,-87.062237,TRAIN 511 WAS STOPPED DUE TO A MECHANICAL PROBELM WITH THE PANTOGRAPH.,Main,3,No,No,1,NICDN1800003201801,NICDN1800003201801,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,,,,,,,Passenger (Formerly Commuter),,SMT-4 - CPKC/CP/CN/CCD,NICD,Northern Indiana Commuter Transportation District,Not Assigned,POINT (-87.062237 41.644552),Porter town,"5,213",18,61164,2396863,1861164,1600000US1861164,Porter,Porter town,43,C1,N,G4110,A,15956983,735254,41.6275443,-87.082744,7
CSX,CSX Transportation,2017,166515,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00016651520170204,17,2,,,,,,CSX,CSX Transportation,166515,17,2,,4,2/4/2017,5:30 AM,1,Derailment,14,0,0,0,INDIANAPOLIS TERMINA,,,INDIANAPOLIS,9,18,IN,INDIANA,63,HENDRICKS,4,15,4,Dark,1,Clear,2,Yard,SOUTH RUNNER,1,0,3,East,1,Freight Train,Yes,Q638,5,Estimated,5,10201,2,Not Signaled,,Other Than Main Track,L,Special Instructions,,,,,0,Not a remotely controlled operation,ETTX,701357,18,Yes,,,0,No,,,No,2,0,0,0,0,0,0,0,0,0,122,0,14,0,0,8,0,0,0,0,17772,8819,26591,H525,"Independent (engine) brake, improper use (except actuation) (H023)",,,H525,"Independent (engine) brake, improper use (except actuation) (H023)",1,0,1,0,10,45,10,45,0,0,0,0,0,0,0,0,0,0,0,0,OTH,000-000-000,39.759791,-86.327526,"WHILE PULLING INTO TRACK R08, TRAIN HAD TO SET OVER 31 CARS.  8 CARS DERAILED AT THE EAST END OF THERECEIVING YARD.",Yard,1,1,1,1,CSX000166515201702,CSX000166515201702,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-86.327526 39.759791),Indianapolis city (balance),"880,621",18,36003,2395424,1836003,1600000US1836003,Indianapolis city (balance),Indianapolis city (balance),0,C8,Y,G4110,F,935028527,17916811,39.7766644,-86.1459355,202
CSX,CSX Transportation,2017,166515,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00016651520170204,17,2,,,,,,CSX,CSX Transportation,166515,17,2,,4,2/4/2017,5:30 AM,1,Derailment,14,0,0,0,INDIANAPOLIS TERMINA,,,INDIANAPOLIS,9,18,IN,INDIANA,63,HENDRICKS,4,15,4,Dark,1,Clear,2,Yard,SOUTH RUNNER,1,0,3,East,1,Freight Train,Yes,Q638,5,Estimated,5,10201,2,Not Signaled,,Other Than Main Track,L,Special Instructions,,,,,0,Not a remotely controlled operation,ETTX,701357,18,Yes,,,0,No,,,No,2,0,0,0,0,0,0,0,0,0,122,0,14,0,0,8,0,0,0,0,17772,8819,26591,H525,"Independent (engine) brake, improper use (except actuation) (H023)",,,H525,"Independent (engine) brake, improper use (except actuation) (H023)",1,0,1,0,10,45,10,45,0,0,0,0,0,0,0,0,0,0,0,0,OTH,000-000-000,39.759791,-86.327526,"WHILE PULLING INTO TRACK R08, TRAIN HAD TO SET OVER 31 CARS.  8 CARS DERAILED AT THE EAST END OF THERECEIVING YARD.",Yard,1,1,1,1,CSX000166515201702,CSX000166515201702,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-86.327526 39.759791),Plainfield town,"36,074",18,60246,2396859,1860246,1600000US1860246,Plainfield,Plainfield town,43,C1,N,G4110,A,69658191,334414,39.6931926,-86.3719847,240
CSX,CSX Transportation,2017,166515,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00016651520170204,17,2,,,,,,CSX,CSX Transportation,166515,17,2,,4,2/4/2017,5:30 AM,1,Derailment,14,0,0,0,INDIANAPOLIS TERMINA,,,INDIANAPOLIS,9,18,IN,INDIANA,63,HENDRICKS,4,15,4,Dark,1,Clear,2,Yard,SOUTH RUNNER,1,0,3,East,1,Freight Train,Yes,Q638,5,Estimated,5,10201,2,Not Signaled,,Other Than Main Track,L,Special Instructions,,,,,0,Not a remotely controlled operation,ETTX,701357,18,Yes,,,0,No,,,No,2,0,0,0,0,0,0,0,0,0,122,0,14,0,0,8,0,0,0,0,17772,8819,26591,H525,"Independent (engine) brake, improper use (except actuation) (H023)",,,H525,"Independent (engine) brake, improper use (except actuation) (H023)",1,0,1,0,10,45,10,45,0,0,0,0,0,0,0,0,0,0,0,0,OTH,000-000-000,39.759791,-86.327526,"WHILE PULLING INTO TRACK R08, TRAIN HAD TO SET OVER 31 CARS.  8 CARS DERAILED AT THE EAST END OF THERECEIVING YARD.",Yard,1,1,1,1,CSX000166515201702,CSX000166515201702,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (-86.327526 39.759791),Avon town,"23,611",18,2908,2396582,1802908,1600000US1802908,Avon,Avon town,43,C1,N,G4110,A,50061965,392570,39.7607134,-86.3941455,241
IHB,Indiana Harbor Belt Railroad Company,2016,2187,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=IHB218720160227,16,2,,,,,,XKNA,KATOEN NATIE,INDUSTRY,16,2,,27,2/27/2016,1:30 AM,1,Derailment,0,0,0,0,SYSTEM,,,GARY,0.01,18,IN,INDIANA,89,LAKE,4,27,4,Dark,1,Clear,4,Industry,GARY LOOP,1,,4,West,1,Freight Train,Yes,KG22,10,Estimated,10,1150,1,Signaled,,Other Than Main Track,,,,,,,0,Not a remotely controlled operation,MLLX,26366,16,No,,,0,,,,No,1,0,0,0,0,0,0,0,0,0,20,0,14,0,0,0,0,2,0,0,13016,9156,22172,T110,Wide gage (due to defective or missing crossties),,,T110,Wide gage (due to defective or missing crossties),1,0,1,1,10,40,10,40,0,0,0,0,0,0,0,0,0,0,0,0,OTH,000-000-000,41.595218,-87.385875,"THE INDUSTRY THAT MAINTAINS THE TRACK IS KATOEN NATIE. RUN 122 DEPARTING GARY LOOP.  ALL CREW MEMBERS ON HEAD END.  WHILE DEPARTING WITH TRAIN, THEY NOTICED THE TRAIN ABRUPTLY SLOW DOWN.  THEY WENT BACK TO INSPECT AND FOUND 2 CARS DERAILED BY THE GATE INTO THE LOOP.  AS OF 05/25/2016, FRA COST CHANGED MORE THAN 10% FROM $11,000 TO $20,156. TRACK, SIGNAL, WAY, & STRUCTURE DAMAGE COSTS WERE ENTERED.FINAL FRA COSTS AS OF 06/05/2017 $22,172.",Industry,1,3,3,1,XKNAINDUSTRY201602,IHB2187201602,Shortline,Class 3,SMT-8 - Short Line West,IHB,Indiana Harbor Belt Railroad Company,Not Assigned,,,,,,,,,,XKNA,KATOEN NATIE,Not Assigned,POINT (-87.385875 41.595218),Gary city,"67,972",18,27000,2394863,1827000,1600000US1827000,Gary,Gary city,25,C1,N,G4110,A,129322611,1893789,41.5907404,-87.3471127,196
LIRC,Louisville & Indiana Railroad Company,2011,110802,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=LIRC11080220110824,11,8,,,,,,LIRC,Louisville & Indiana Railroad Company,110802,11,8,,24,8/24/2011,12:30 AM,1,Derailment,0,0,0,0,SYSTEM,,,AUSTIN,75.7,18,IN,INDIANA,143,SCOTT,4,70,4,Dark,2,Cloudy,1,Main,MAIN TRACK,2,,2,South,1,Freight Train,Yes,CJ1S,25,Estimated,25,8955,2,Not Signaled,,Direct Train Control,,,,,,,0,Not a remotely controlled operation,NS,409137,30,Yes,NS,409137,30,Yes,,,No,3,0,0,0,0,0,0,0,0,0,63,0,15,0,0,1,0,0,0,0,12000,15000,27000,E53C,Journal (roller bearing) failure from overheating,,,E53C,Journal (roller bearing) failure from overheating,1,0,1,0,3,30,3,30,0,0,0,0,0,0,0,0,0,0,0,0,OTH,,38.74309,-85.80629,NS409137 BURNED OFF L1 ROLLER BEARING JOURNAL AND DERAILED ONE TRUCK OF CAR. NO OTHER CARS DERAILED.CAR REMAINED UPRIGHT. NO LADING DAMAGE.,Main,2,3,3,1,LIRC110802201108,LIRC110802201108,Shortline,Class 3,SMT-8 - Short Line West,LIRC,Louisville & Indiana Railroad Company,Anacostia R,,,,,,,Shortline,Class 3,SMT-8 - Short Line West,LIRC,Louisville & Indiana Railroad Company,Anacostia R,POINT (-85.80629 38.74309),Austin city,"4,138",18,2800,2397445,1802800,1600000US1802800,Austin,Austin city,25,C1,N,G4110,A,8090192,0,38.7399857,-85.810587,4
NS,Norfolk Southern Railway Company,2023,153801,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=NS15380120230803,23,8,,,,,,NS,Norfolk Southern Railway Company,153801,23,8,478539Y,3,8/3/2023,6:15 AM,7,Hwy-rail crossing,17,0,0,0,GREAT LAKES,,,ARGOS,B431.8,18,IN,INDIANA,99,MARSHALL,4,60,1,Dawn,1,Clear,1,Main,SINGLE MAIN TRACK,4,27,3,East,1,Freight Train,Yes,177L,25,Recorded,25,3977,1,Signaled,,Signal Indication,D,Automatic Block Signals System,,,,,0,Not a remotely controlled operation,NS,4441,1,No,,,0,,,,No,3,0,0,0,0,0,0,0,0,0,38,0,10,0,0,0,0,0,0,0,12863,15000,27863,M303,Highway user misjudgment under normal weather and traffic conditions,,,M303,Highway user misjudgment under normal weather and traffic conditions,1,2,1,0,12,,12,,0,0,0,0,0,0,0,0,0,0,0,0,CWR,000-000-000,41.234382,-86.254329,NS TRAIN 177L402 STRUCK A HWY USER IN THE HWY GRADE CROSSING.,Main,4,1,1,1,NS153801202308,NS153801202308,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,POINT (-86.254329 41.234382),Argos town,"1,756",18,2044,2397436,1802044,1600000US1802044,Argos,Argos town,43,C1,N,G4110,A,3329701,25952,41.2376211,-86.2531661,1
