Location,Population,STATEFP,PLACEFP,PLACENS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,hospital_count,Fire_station_counts_Population,Fire_station_counts_STATEFP,Fire_station_counts_PLACEFP,Fire_station_counts_PLACENS,Fire_station_counts_GEOID,Fire_station_counts_GEOIDFQ,Fire_station_counts_NAME,Fire_station_counts_NAMELSAD,Fire_station_counts_LSAD,Fire_station_counts_CLASSFP,Fire_station_counts_PCICBSA,Fire_station_counts_MTFCC,Fire_station_counts_FUNCSTAT,Fire_station_counts_ALAND,Fire_station_counts_AWATER,Fire_station_counts_INTPTLAT,Fire_station_counts_INTPTLON,Fire_station_counts_fire_station_count,Shortest lines_Population,Shortest lines_STATEFP,Shortest lines_PLACEFP,Shortest lines_PLACENS,Shortest lines_GEOID,Shortest lines_GEOIDFQ,Shortest lines_NAME,Shortest lines_NAMELSAD,Shortest lines_LSAD,Shortest lines_CLASSFP,Shortest lines_PCICBSA,Shortest lines_MTFCC,Shortest lines_FUNCSTAT,Shortest lines_ALAND,Shortest lines_AWATER,Shortest lines_INTPTLAT,Shortest lines_INTPTLON,Shortest lines_objectid,Shortest lines_fraarcid,Shortest lines_frfranode,Shortest lines_tofranode,Shortest lines_stfips,Shortest lines_cntyfips,Shortest lines_stcntyfips,Shortest lines_stateab,Shortest lines_country,Shortest lines_fradistrct,Shortest lines_rrowner1,Shortest lines_rrowner2,Shortest lines_rrowner3,Shortest lines_trkrghts1,Shortest lines_trkrghts2,Shortest lines_trkrghts3,Shortest lines_trkrghts4,Shortest lines_trkrghts5,Shortest lines_trkrghts6,Shortest lines_trkrghts7,Shortest lines_trkrghts8,Shortest lines_trkrghts9,Shortest lines_division,Shortest lines_subdiv,Shortest lines_branch,Shortest lines_yardname,Shortest lines_passngr,Shortest lines_stracnet,Shortest lines_tracks,Shortest lines_net,Shortest lines_miles,Shortest lines_km,Shortest lines_timezone,Shortest lines_shape_Length,Shortest lines_distance
Advance town," 502 ","18","00640","02397419","1800640",1600000US1800640,Advance,Advance town,"43",C1,N,G4110,A,"1525823","0","+39.9955521","-086.6199218",0," 502 ","18","00640","02397419","1800640",1600000US1800640,Advance,Advance town,"43",C1,N,G4110,A,"1525823","0","+39.9955521","-086.6199218",1," 502 ","18","00640","02397419","1800640",1600000US1800640,Advance,Advance town,"43",C1,N,G4110,A,"1525823","0","+39.9955521","-086.6199218","335390","494583","422279","422720","18","011","18011",IN,US,"4",CSXT,,,AMTK,NS,,,,,,,,CHICAGO,CRAWFORDSVILLE BRANCH,#N\A,,A,,1,M,4.6583764,7.49694511,E,0.0833647667748409,7910.77563282532
Akron town," 1,113 ","18","00748","02397420","1800748",1600000US1800748,Akron,Akron town,"43",C1,N,G4110,A,"1188354","0","+41.0388285","-086.0249228",0," 1,113 ","18","00748","02397420","1800748",1600000US1800748,Akron,Akron town,"43",C1,N,G4110,A,"1188354","0","+41.0388285","-086.0249228",1," 1,113 ","18","00748","02397420","1800748",1600000US1800748,Akron,Akron town,"43",C1,N,G4110,A,"1188354","0","+41.0388285","-086.0249228","335144","493733","425787","425794","18","085","18085",IN,US,"4",NS,,,,,,,,,,,,LAKE,MARION BRANCH,#N\A,,,,1,M,2.32992565,3.74965936,E,0.0339990449773353,15526.3790874993
Alamo town," 65 ","18","00784","02397421","1800784",1600000US1800784,Alamo,Alamo town,"43",C1,N,G4110,A,"161263","0","+39.9834292","-087.0552331",0," 65 ","18","00784","02397421","1800784",1600000US1800784,Alamo,Alamo town,"43",C1,N,G4110,A,"161263","0","+39.9834292","-087.0552331",1," 65 ","18","00784","02397421","1800784",1600000US1800784,Alamo,Alamo town,"43",C1,N,G4110,A,"161263","0","+39.9834292","-087.0552331","205909","506504","419777","420084","18","107","18107",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,2.17506158,3.50042931,E,0.0400713895936535,12931.4591600124
Albany town," 2,286 ","18","00802","02397422","1800802",1600000US1800802,Albany,Albany town,"43",C1,N,G4110,A,"5130921","16989","+40.3059544","-085.2321915",0," 2,286 ","18","00802","02397422","1800802",1600000US1800802,Albany,Albany town,"43",C1,N,G4110,A,"5130921","16989","+40.3059544","-085.2321915",1," 2,286 ","18","00802","02397422","1800802",1600000US1800802,Albany,Albany town,"43",C1,N,G4110,A,"5130921","16989","+40.3059544","-085.2321915","198906","499492","428770","429005","18","075","18075",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,FRANKFORT DISTRICT,#N\A,,,,1,M,3.4737755,5.59051095,E,0.0611083610528843,0
Albion town," 2,216 ","18","00820","02397423","1800820",1600000US1800820,Albion,Albion town,"43",C1,N,G4110,A,"4941869","0","+41.3965917","-085.4186942",0," 2,216 ","18","00820","02397423","1800820",1600000US1800820,Albion,Albion town,"43",C1,N,G4110,A,"4941869","0","+41.3965917","-085.4186942",1," 2,216 ","18","00820","02397423","1800820",1600000US1800820,Albion,Albion town,"43",C1,N,G4110,A,"4941869","0","+41.3965917","-085.4186942","334390","491069","427560","427837","18","113","18113",IN,US,"4",CSXT,,,CPRS,,,,,,,,,CHICAGO,GARRETT,#N\A,,,,2,M,6.23403996,10.03273487,E,0.118541572424035,0
Alexandria city," 5,165 ","18","00910","02393917","1800910",1600000US1800910,Alexandria,Alexandria city,"25",C1,N,G4110,A,"7834168","0","+40.2629639","-085.6736827",0," 5,165 ","18","00910","02393917","1800910",1600000US1800910,Alexandria,Alexandria city,"25",C1,N,G4110,A,"7834168","0","+40.2629639","-085.6736827",1," 5,165 ","18","00910","02393917","1800910",1600000US1800910,Alexandria,Alexandria city,"25",C1,N,G4110,A,"7834168","0","+40.2629639","-085.6736827","202444","503033","427076","427046","18","095","18095",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,O,0.73463059,1.1822757,E,0.0115054058169266,0
Alfordsville town," 66 ","18","00964","02397424","1800964",1600000US1800964,Alfordsville,Alfordsville town,"43",C1,N,G4110,A,"170030","1557","+38.5602959","-086.9485569",0," 66 ","18","00964","02397424","1800964",1600000US1800964,Alfordsville,Alfordsville town,"43",C1,N,G4110,A,"170030","1557","+38.5602959","-086.9485569",0," 66 ","18","00964","02397424","1800964",1600000US1800964,Alfordsville,Alfordsville town,"43",C1,N,G4110,A,"170030","1557","+38.5602959","-086.9485569","194601","495186","419593","419897","18","027","18027",IN,US,"4",CSXT,,,,,,,,,,,,LOUISVILLE,INDIANA (CSXT),#N\A,,,,1,M,2.88250322,4.63894854,C,0.0532306127767923,15565.7516995905
Alton town," 30 ","18","01270","02397425","1801270",1600000US1801270,Alton,Alton town,"43",C1,N,G4110,A,"445422","64400","+38.1200999","-086.4185946",0," 30 ","18","01270","02397425","1801270",1600000US1801270,Alton,Alton town,"43",C1,N,G4110,A,"445422","64400","+38.1200999","-086.4185946",1," 30 ","18","01270","02397425","1801270",1600000US1801270,Alton,Alton town,"43",C1,N,G4110,A,"445422","64400","+38.1200999","-086.4185946","336276","499743","422863","423242","18","025","18025",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,SOUTHERN-EAST DISTRICT,#N\A,,,S,1,M,5.98431291,9.63083734,E,0.104953055361819,29334.0974474737
Altona town," 216 ","18","01288","02397426","1801288",1600000US1801288,Altona,Altona town,"43",C1,N,G4110,A,"525053","0","+41.3521601","-085.1525395",0," 216 ","18","01288","02397426","1801288",1600000US1801288,Altona,Altona town,"43",C1,N,G4110,A,"525053","0","+41.3521601","-085.1525395",0," 216 ","18","01288","02397426","1801288",1600000US1801288,Altona,Altona town,"43",C1,N,G4110,A,"525053","0","+41.3521601","-085.1525395","204804","505395","429039","429139","18","033","18033",IN,US,"4",CSXT,,,,,,,,,,,,,,,GARRETT,,,0,Y,1.03460297,1.66503542,E,0.0198858309053341,0
Ambia town," 229 ","18","01342","02397427","1801342",1600000US1801342,Ambia,Ambia town,"43",C1,N,G4110,A,"390978","0","+40.4893107","-087.5162741",0," 229 ","18","01342","02397427","1801342",1600000US1801342,Ambia,Ambia town,"43",C1,N,G4110,A,"390978","0","+40.4893107","-087.5162741",1," 229 ","18","01342","02397427","1801342",1600000US1801342,Ambia,Ambia town,"43",C1,N,G4110,A,"390978","0","+40.4893107","-087.5162741","196132","496717","415999","416029","18","007","18007",IN,US,"4",KBSR,,,,,,,,,,,,,,,,,,0,O,0.14744142,0.23728443,E,0.00275151477309389,0
